state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_bill,matches_keyword
CA,community land trust,AB 2343,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2343,Bill Text - AB-2343 Certification: alcohol and other drug programs.,AB 2343,Introduced,True,False
CA,community land trust,AB 2344,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2344,Bill Text - AB-2344 Government Code.,AB 2344,Introduced,True,False
CA,community land trust,AB 2345,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2345,Bill Text - AB-2345 Student loans: medical and nursing students: California Health Care Workforce Supplemental Loan Program.,AB 2345,Introduced,True,False
CA,community land trust,AB 2346,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2346,Bill Text - AB-2346 Vehicles: electric bicycles and speed limits.,AB 2346,Introduced,True,False
CA,community land trust,AB 2347,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2347,Bill Text - AB-2347 Commission on Peace Officer Standards and Training: hate crime training and guidelines.,AB 2347,Introduced,True,False
CA,community land trust,AB 2348,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2348,Bill Text - AB-2348 Medi-Cal: community supports.,AB 2348,Introduced,True,False
CA,community land trust,AB 2349,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2349,Bill Text - AB-2349 State Air Resources Board: regional air quality incident response program.,AB 2349,Introduced,True,False
CA,community land trust,AB 2350,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2350,Bill Text - AB-2350 California Financing Law: definitions.,AB 2350,Introduced,True,False
CA,community land trust,AB 2351,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2351,Bill Text - AB-2351 General plan: annual report: shelter beds.,AB 2351,Introduced,True,False
CA,community land trust,AB 2352,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2352,Bill Text - AB-2352 Medi-Cal providers: nonprofit public benefit corporations.,AB 2352,Introduced,True,False
CA,community land trust,AB 2353,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2353,Bill Text - AB-2353 Health care affordability.,AB 2353,Introduced,True,False
CA,community land trust,AB 2354,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2354,Bill Text - AB-2354 Education.,AB 2354,Introduced,True,False
CA,community land trust,AB 2355,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2355,Bill Text - AB-2355 Medi-Cal.,AB 2355,Introduced,True,False
CA,community land trust,AB 2356,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2356,Bill Text - AB-2356 State parks: Tolowa Dee-ni’ Nation: Tolowa Dunes State Park.,AB 2356,Introduced,True,False
CA,community land trust,AB 2357,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2357,Bill Text - AB-2357 Courts: mental health pilot program.,AB 2357,Introduced,True,False
CA,community land trust,AB 2358,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2358,Bill Text - AB-2358 The Parent’s Accountability and Child Protection Act.,AB 2358,Introduced,True,False
CA,community land trust,AB 2359,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2359,Bill Text - AB-2359 Medi-Cal.,AB 2359,Introduced,True,False
CA,community land trust,AB 2360,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2360,Bill Text - AB-2360 State agencies: governmental linguistics.,AB 2360,Introduced,True,False
CA,community land trust,AB 2361,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2361,Bill Text - AB-2361 Insurance: personal vehicle sharing.,AB 2361,Introduced,True,False
CA,community land trust,AB 2362,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2362,Bill Text - AB-2362 Pupil transportation.,AB 2362,Introduced,True,False
CA,community land trust,AB 2363,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2363,Bill Text - AB-2363 Individual Shared Responsibility Penalty: exemption.,AB 2363,Introduced,True,False
